nodes,crossover_density,low_bound,high_bound
100,0.164115625,0.15318125,0.17504999999999998
200,0.11388583984375,0.113544140625,0.1142275390625
300,0.07236938476562499,0.07219853515625,0.07254023437499998
400,0.049988085937499996,0.0493046875,0.050671484375
500,0.040078808593749994,0.039737109374999996,0.04042050781249999
600,0.032903125,0.02196875,0.043837499999999995
700,0.0274359375,0.02196875,0.032903125
800,0.024360644531250003,0.0240189453125,0.02470234375
900,0.02196875,0.0001,0.043837499999999995
1000,0.020772802734374998,0.020601953124999996,0.020943652343749997
1100,0.018210058593749995,0.017868359374999997,0.018551757812499996
1200,0.016843261718749995,0.016501562499999997,0.017184960937499997
